TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
238,9006668,238.01,PC,349.231362,-18.606628,9.897,1.2730996065354,378.70512860284,4.5685,1.86158215275625,190813,5024.0
442,70899085,442.01,CP,64.1900021,-12.084015,10.733,4.0520368,5512.40331926394,4.64,4.95231335387889,200225,3779.0
460,9804616,460.01,EB,47.6431,-9.2768,14.121,0.516834685451029,33190.706911,4.9794,6.597837,190813,3274.0
462,420049884,462.01,PC,36.276352,1.323725,10.605,4.10750115993065,914.309902602994,4.45924,4.69367695501041,190813,5205.0
464,398733009,464.01,PC,32.16976,-9.046048,15.722,0.818567173097829,44712.1811610994,5.59998,4.15526032524568,190813,31000.0
488,452866790,488.01,CP,120.5953,3.3388,11.13,1.197995927968,973.268913552216,4.91528,1.12172615223801,190507,3332.0
494,19519368,494.01,PC,124.69586,-6.785861,10.039,1.7018818,570.0,4.67,1.96356,190506,4985.0
498,121338379,498.01,PC,129.09088,-3.860234,9.527,0.275047829249589,703.055422506139,4.26662,4.05879975802536,190507,6218.0
515,366622912,515.01,PC,128.067122,11.630687,13.725,3.11489170144463,25584.0432269237,4.438,11.9721077960683,190507,4973.0
521,27649847,521.01,PC,123.3438,12.2217,12.429,1.5428518,2090.0,4.97486,1.99486,190507,3439.0
522,19451711,522.01,PC,124.602799,-7.571285,7.359,0.396968725313395,110.717901800707,4.438,2.10806200133135,190506,7381.0
544,50618703,544.01,PC,82.289925,-0.34256,9.577,1.54835416755448,926.411103200282,4.67631,2.16017406801005,210323,4665.0
561,377064495,561.02,CP,148.18559,6.216373,9.495,0.4465713,294.0,4.52526,1.48867,190506,5391.0
561,377064495,561.01,CP,148.18559,6.216373,9.495,10.778833,1130.0,4.52526,2.6584,190506,5391.0
561,377064495,561.03,CP,148.18559,6.216373,9.495,16.3573852639539,503.838443568009,4.52526,2.15624235991267,190506,5391.0
603,262746281,603.01,PC,141.1079428,5.766244,9.742,16.1798045,2249.0,4.04,7.89958,190507,5900.8
613,77527511,613.01,PC,142.2629552,-5.3754942,9.949,0.7784962,1670.0,,9.22083,190507,4949.2
676,219187649,676.01,PC,171.206009,-18.617335,13.336,2.15030072321996,9260.89730453727,4.41381,14.1253056121461,200226,5430.0
679,308050066,679.01,PC,155.43601,-17.224391,9.976,11.1755425,7873.0,3.9,17.5706,200226,6655.0
680,335499997,680.01,PC,179.163859,-12.377443,8.953,0.433569047470839,741.943079089652,3.9495,4.87602129572987,200226,5967.0
682,429304876,682.01,CP,167.88584,-22.07256,9.181,6.8392388,1213.0,3.92,3.74186,200226,5085.0
