#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.67  0.05  3.08624  1.943 4.091  4.293  9.70  0.131 0.00  9.613 10.870 10.276 10.566 10.812 11.011  3.086 
 1   6.67  0.23  0.36280 -1.752 3.563  4.949  8.20  0.096 0.00 17.350 22.398 19.718 18.355 17.456 16.924  0.363 
 1   6.91  0.05  0.88748 -0.417 3.710  4.588  7.80  0.086 0.00 13.613 16.161 14.354 13.620 13.413 13.314  0.887 
 1   6.91  0.13  0.18044 -1.726 3.495  4.248  8.00  0.098 0.80 16.651 22.984 19.872 18.336 17.035 16.266  0.144 
 1   7.05  0.41  0.41788 -1.608 3.573  4.905  8.30  0.108 0.00 17.089 21.951 19.441 18.157 17.214 16.668  0.418 
 1   7.27  0.25  0.84856 -0.544 3.686  4.602  8.70  0.100 0.00 14.829 17.906 15.789 14.899 14.642 14.507  0.849 
 1   7.41 -0.31  0.08524 -2.155 3.494  4.445  7.00  0.083 0.00 17.157 24.040 20.524 18.870 17.540 16.784  0.085 
 1   7.51  0.31  0.73521 -0.824 3.651  4.677  9.10  0.098 0.77 15.577 19.454 17.028 15.901 15.482 15.228  0.735 
 1   7.53  0.41  1.29989  0.377 3.803  4.332  8.60  0.122 0.73 12.220 13.933 12.609 12.171 12.085 12.082  1.300 
 1   7.59  0.15  0.21894 -2.184 3.537  5.055  7.80  0.094 0.89 17.321 23.001 20.060 18.597 17.534 16.905  0.219 
 1   7.63  0.29  0.64859 -1.043 3.627  4.746  9.50  0.085 0.00 16.876 20.949 18.461 17.267 16.801 16.519  0.649 
 1   7.67  0.09  5.67272  3.077 4.223  3.953  9.60  0.112 0.00  6.678  8.206  8.024  8.388  8.675  8.927  5.673 
 1   7.71  0.23  0.94147 -0.324 3.717  4.550  6.20  0.052 0.76 11.512 14.153 12.289 11.517 11.295 11.187  0.941 
 1   7.71  0.35  0.74043 -0.810 3.652  4.673 10.10  0.127 0.00 16.896 20.677 18.246 17.142 16.781 16.571  0.740 
 1   7.83  0.37  1.50591  0.670 3.840  4.251 10.40  0.113 0.00 13.494 14.854 13.694 13.458 13.457 13.515  1.506 
 1   7.91  0.11  0.50454 -1.388 3.593  4.848  9.50  0.111 0.00 17.740 22.215 19.728 18.433 17.756 17.343  0.505 
 1   7.97  0.27  0.35541 -1.772 3.562  4.954  7.50  0.087 0.92 16.038 21.157 18.434 17.060 16.148 15.610  0.355 
 1   7.99  0.11  0.41332 -1.610 3.575  4.912  7.50  0.083 0.00 16.296 21.048 18.509 17.187 16.351 15.853  0.413 
 1   8.09  0.27  0.43151 -1.573 3.576  4.894  8.80  0.101 0.00 17.502 22.294 19.788 18.494 17.598 17.073  0.432 
 1   8.17 -0.05  0.31229 -1.861 3.565  5.002  8.10  0.093 0.94 16.837 21.858 19.138 17.743 16.909 16.408  0.312 
 1   8.19  0.37  1.52943  0.706 3.844  4.238  9.00  0.103 0.74 11.776 13.192 12.000 11.730 11.713 11.758  1.529 
 1   8.21  0.29  2.99326  1.960 4.037  4.047  9.80  0.113 0.00  9.669 10.818 10.026 10.297 10.532 10.707  2.993 
 1   8.27  0.05  0.54614 -1.276 3.605  4.817  8.60  0.099 0.00 16.561 20.827 18.363 17.090 16.528 16.181  0.546 
 1   8.29 -0.37  0.21410 -2.123 3.564  5.096  8.30  0.095 0.92 17.698 22.843 19.968 18.496 17.737 17.284  0.214 
 1   8.33 -0.09  0.41191 -1.587 3.584  4.922  6.00  0.063 0.00 14.738 19.274 16.746 15.414 14.720 14.299  0.412 
 1   8.33  0.13  0.27381 -1.995 3.549  5.013  7.80  0.089 1.00 16.805 22.168 19.310 17.885 16.941 16.383  0.274 
 1   8.35  0.09  0.48504 -1.433 3.590  4.862  8.60  0.102 0.00 16.952 21.469 18.974 17.672 16.970 16.543  0.485 
 1   8.35  0.19  0.83063 -0.581 3.681  4.609  9.70  0.130 0.86 15.476 18.839 16.627 15.649 15.340 15.164  0.831 
 1   8.35  0.25  0.46322 -1.494 3.582  4.871  8.10  0.103 0.00 16.605 21.297 18.802 17.515 16.680 16.187  0.463 
 1   8.39  0.01  0.46831 -1.466 3.589  4.878  9.20  0.089 0.00 17.635 22.127 19.626 18.312 17.632 17.217  0.468 
 1   8.39  0.11  1.84477  1.089 3.914  4.218  7.50  0.090 0.95  8.911 10.098  8.964  8.984  9.098  9.218  1.845 
 1   8.39  0.11  1.40150  0.562 3.827  4.276  9.30  0.097 0.00 12.665 13.998 12.895 12.634 12.611 12.653  1.402 
 1   8.39  0.21  0.21074 -2.218 3.533  5.057  7.10  0.068 0.89 16.747 22.501 19.536 18.067 16.969 16.321  0.211 
 1   8.41  0.27  1.01708 -0.148 3.741  4.502  9.70  0.114 0.00 14.841 17.065 15.440 14.809 14.650 14.590  1.017 
 1   8.43  0.01  0.31235 -1.870 3.562  4.997  8.30  0.100 0.80 17.192 22.360 19.592 18.188 17.300 16.769  0.312 
 1   8.43  0.07  0.74352 -0.771 3.659  4.664 10.30  0.122 0.00 16.999 20.501 18.232 17.204 16.875 16.685  0.744 
 1   8.47  0.03  0.66791 -0.963 3.638  4.721  9.50  0.115 0.00 16.676 20.520 18.133 16.989 16.589 16.350  0.668 
 1   8.47  0.05  0.20005 -2.242 3.538  5.077  6.70  0.062 0.00 17.075 22.638 19.714 18.265 17.243 16.641  0.200 
 1   8.47  0.43  1.76711  0.994 3.889  4.193  9.30  0.089 0.78 11.280 12.546 11.376 11.261 11.317 11.408  1.767 
 1   8.49 -0.19  0.33950 -1.768 3.578  4.995  8.70  0.100 0.73 17.408 22.232 19.572 18.174 17.434 16.985  0.339 
 1   8.49  0.13  1.51494  0.714 3.846  4.236  8.30  0.101 1.00 10.544 11.828 10.726 10.531 10.539 10.600  1.515 
 1   8.49  0.15  2.43030  1.618 3.973  4.043  9.00  0.090 0.95  9.096 10.231  9.178  9.374  9.571  9.722  2.430 
 1   8.55 -0.01  0.07537 -3.166 3.412  5.077  2.00  0.013 0.00 14.685 24.484 19.880 18.107 15.847 14.505  0.075 
 1   8.55  0.23  2.04092  1.276 3.926  4.122  6.40  0.062 0.00  7.981  9.112  7.965  8.067  8.221  8.360  2.041 
 1   8.55  0.27  0.49344 -1.421 3.588  4.850  8.00  0.096 0.00 16.321 20.901 18.424 17.153 16.374 15.911  0.493 
 1   8.55  0.31  0.26289 -2.036 3.544  5.014  7.10  0.062 0.88 16.333 21.817 18.926 17.490 16.489 15.899  0.263 
 1   8.57  0.23  0.25391 -2.063 3.542  5.019  4.00  0.025 0.00 13.929 19.336 16.464 15.044 14.056 13.477  0.254 
 1   8.57  0.29  1.23467  0.284 3.790  4.352  9.40  0.102 0.73 13.254 15.012 13.674 13.203 13.100 13.084  1.235 
 1   8.59 -0.01  1.99901  1.290 3.942  4.163 10.10  0.097 0.83 11.253 12.438 11.321 11.401 11.538 11.664  1.999 
 1   8.59  0.35  1.50697  0.694 3.838  4.221  9.00  0.097 0.00 12.035 13.376 12.219 11.985 11.985 12.044  1.507 
 1   8.61  0.03  1.77787  1.058 3.907  4.204 10.10  0.116 0.00 12.225 13.453 12.311 12.327 12.436 12.551  1.778 
 1   8.63 -0.15  0.92340 -0.271 3.737  4.567  9.40  0.109 0.84 14.450 16.722 15.139 14.476 14.282 14.191  0.923 
 1   8.63 -0.05  0.46145 -1.472 3.591  4.884  8.50  0.096 0.00 16.951 21.408 18.910 17.591 16.939 16.539  0.461 
 1   8.63  0.05  0.66763 -0.967 3.636  4.721  7.80  0.088 0.00 14.989 18.818 16.429 15.287 14.886 14.647  0.668 
 1   8.63  0.07  1.31797  0.457 3.814  4.305 11.40  0.121 0.00 15.028 16.452 15.327 15.015 14.967 14.990  1.318 
 1   8.65 -0.11  0.71456 -0.803 3.662  4.688  8.00  0.088 0.00 14.778 18.102 15.927 14.945 14.630 14.453  0.715 
 1   8.65  0.01  0.45614 -1.495 3.587  4.885  8.90  0.089 0.00 17.407 21.944 19.433 18.114 17.412 16.984  0.456 
 1   8.65  0.05  0.79881 -0.624 3.679  4.626  9.50  0.109 0.95 15.203 18.424 16.279 15.339 15.049 14.888  0.799 
 1   8.67  0.09  1.63591  0.888 3.873  4.201  8.90  0.093 0.76 11.186 12.455 11.336 11.186 11.213 11.283  1.636 
 1   8.69 -0.13  0.54798 -1.235 3.614  4.816  9.00  0.114 0.00 16.858 20.966 18.539 17.293 16.801 16.500  0.548 
 1   8.69  0.03  0.67547 -0.943 3.639  4.714  9.80  0.110 0.00 16.929 20.738 18.361 17.228 16.835 16.601  0.675 
 1   8.69  0.15  0.44796 -1.527 3.580  4.883  9.00  0.094 0.00 17.587 22.275 19.761 18.454 17.643 17.159  0.448 
