#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.11 -0.09  0.11444 -1.889 3.498  4.323  7.00  0.063 0.00 16.494 22.997 19.762 18.191 16.869 16.098  0.114 
 1   7.45 -0.03  1.21456  0.277 3.800  4.392  9.20  0.070 0.00 13.277 14.667 13.564 13.223 13.160 13.175  1.215 
 1   7.67  0.17  0.08072 -2.372 3.463  4.514  5.60  0.048 0.00 16.300 23.781 20.255 18.624 16.935 15.955  0.081 
 1   7.95  0.19  0.87526 -0.476 3.696  4.587  5.70  0.039 0.00 11.659 14.431 12.452 11.647 11.424 11.316  0.875 
 1   7.99 -0.05  0.17283 -2.273 3.523  4.988  5.20  0.032 0.00 15.653 21.449 18.457 16.983 15.868 15.214  0.173 
 1   7.99  0.11  0.50369 -1.390 3.593  4.849  9.80  0.067 0.80 17.556 22.081 19.585 18.291 17.565 17.126  0.504 
 1   8.01  0.15  0.70997 -0.878 3.645  4.694  8.00  0.064 0.00 14.966 18.663 16.292 15.196 14.828 14.615  0.710 
 1   8.25  0.03  0.07367 -2.977 3.434  4.964  7.40  0.062 0.00 19.612 28.225 24.263 22.565 20.547 19.361  0.074 
 1   8.35 -0.25  0.87525 -0.350 3.731  4.600  6.90  0.052 0.00 12.544 14.584 13.102 12.504 12.336 12.269  0.875 
 1   8.37  0.51  0.17283 -2.322 3.512  4.990  6.40  0.044 0.00 16.974 23.031 19.990 18.492 17.268 16.550  0.173 
 1   8.39 -0.03  0.15935 -2.342 3.512  4.976  6.10  0.049 0.00 16.725 22.806 19.741 18.234 17.018 16.305  0.159 
 1   8.43 -0.03  0.17201 -2.312 3.521  5.015  7.30  0.053 0.00 17.849 23.728 20.720 19.235 18.092 17.421  0.172 
 1   8.53 -0.09  0.12456 -2.552 3.492  4.999  9.30  0.070 0.82 19.880 26.755 23.392 21.785 20.342 19.506  0.125 
 1   8.59 -0.05  0.24060 -2.076 3.552  5.050  8.60  0.064 0.73 18.064 23.514 20.617 19.175 18.207 17.632  0.241 
 1   8.67 -0.19  0.13383 -2.529 3.500  5.039  8.90  0.061 0.89 19.357 26.050 22.664 21.052 19.727 18.966  0.134 
 1   8.69  0.07  0.13553 -2.543 3.490  5.018  8.10  0.061 0.00 19.228 25.902 22.660 21.089 19.671 18.842  0.136 
 1   8.69  0.11  0.21048 -2.209 3.537  5.064  6.50  0.052 0.93 16.106 21.708 18.777 17.326 16.282 15.669  0.210 
