#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   7.17  0.21  0.82182 -0.608 3.677  4.616  8.30  0.120 0.87 14.128 14.698 18.081 16.521 15.310 14.638 15.037 11.875  0.822 
 1   7.27 -0.11  9.40181  3.888 4.356  3.895 12.60  0.114 0.00  7.651 10.010 10.022  9.940  9.939 10.000  9.873  6.766  9.400 
 1   7.35  0.23  1.24908  0.285 3.792  4.362  8.50  0.136 0.00 12.558 12.685 14.686 13.675 13.061 12.666 12.864  9.780  1.249 
 1   7.57 -0.03  1.08843  0.026 3.769  4.471  7.60  0.093 0.00 12.304 12.438 14.468 13.494 12.839 12.418 12.627  9.521  1.088 
 1   7.59  0.07  0.74767 -0.767 3.661  4.668  8.00  0.089 0.00 14.689 15.258 18.655 17.083 15.867 15.196 15.599 12.429  0.748 
 1   7.99  0.47  0.79353 -0.675 3.668  4.631  6.80  0.077 0.00 13.259 13.776 17.296 15.660 14.392 13.714 14.117 10.955  0.794 
 1   8.09 -0.25  3.14149  2.110 4.105  4.190 12.60  0.148 0.00 12.096 13.042 13.893 13.136 13.033 13.030 12.997  9.989  3.141 
 1   8.15 -0.05  0.96032 -0.232 3.738  4.549  8.80  0.128 0.00 14.150 14.386 16.755 15.666 14.856 14.362 14.617 11.497  0.960 
 1   8.15  0.13  3.85757  2.481 4.089  3.847  8.90  0.114 0.00  7.467  8.264  9.136  8.335  8.247  8.252  8.202  5.178  3.858 
 1   8.29 -0.07  1.85544  1.139 3.941  4.276  7.20  0.102 0.00  9.123  9.248 10.846  9.578  9.319  9.232  9.324  6.427  1.855 
 1   8.29  0.37  1.21741  0.245 3.786  4.371  6.50  0.080 0.00 10.658 10.726 12.787 11.754 11.104 10.707 10.904  7.818  1.217 
 1   8.37 -0.25  1.50933  0.811 3.893  4.326 12.70  0.124 0.77 15.170 15.282 16.948 15.842 15.482 15.265 15.402 12.420  1.509 
 1   8.37  0.15  0.69129 -0.923 3.640  4.706  8.40  0.124 0.74 15.148 16.024 19.757 17.995 16.735 15.954 16.453 13.277  0.691 
 1   8.39  0.13  0.82963 -0.570 3.685  4.611  9.00  0.101 0.00 15.194 15.620 18.740 17.310 16.185 15.570 15.918 12.770  0.830 
 1   8.39  0.17  0.92612 -0.348 3.715  4.557 10.60  0.147 0.00 16.239 16.563 19.331 18.075 17.090 16.531 16.828 13.702  0.926 
 1   8.41  0.01  0.83590 -0.526 3.694  4.610  9.60  0.101 0.97 15.015 15.412 18.392 17.029 15.960 15.367 15.698 12.553  0.836 
 1   8.43 -0.05  1.22449  0.315 3.805  4.377  9.30  0.119 0.75 13.055 13.198 15.091 14.126 13.560 13.179 13.371 10.284  1.224 
 1   8.49 -0.19  2.70411  1.929 4.024  3.982  8.70  0.118 0.00  8.647  9.131 10.385  9.269  9.137  9.119  9.115  6.151  2.704 
 1   8.49 -0.03  2.36689  1.604 3.988  4.104  9.10  0.116 0.00  9.859 10.162 11.595 10.362 10.186 10.148 10.184  7.266  2.367 
 1   8.49  0.23  0.94763 -0.301 3.720  4.542  9.80  0.146 0.95 14.700 15.028 17.839 16.566 15.561 14.995 15.296 12.170  0.948 
 1   8.53 -0.01  0.84268 -0.510 3.700  4.618  8.80  0.120 0.00 14.845 15.206 18.058 16.758 15.741 15.168 15.480 12.343  0.843 
 1   8.53  0.27  0.80067 -0.652 3.671  4.622  8.20  0.111 0.00 14.599 15.125 18.519 16.952 15.729 15.066 15.456 12.296  0.801 
 1   8.63  0.21  1.32815  0.442 3.808  4.295 12.90  0.136 0.78 16.290 16.421 18.411 17.386 16.788 16.402 16.598 13.519  1.328 
 1   8.63  0.47  1.10855  0.048 3.764  4.437  9.50  0.115 0.00 14.150 14.288 16.611 15.508 14.727 14.267 14.497 11.400  1.109 
